"Jday","y1","y2","Tsoil","Tair","SWC","PAR","WS","PA","rH","LE","H","SR"
1,0.841470984807897,0.54030230586814,18.26,2.7809,21.8028571428571,-18.0156853805714,2.18805148571429,101.594942857143,77.244,-36.0932,-48.2,0.47
1.020833333,0.852543864146551,0.522655679875448,14.8934,2.8193,21.7885714285714,-18.0454549574286,2.26734905714286,101.595685714286,77.078,-48.6647,-53.4,0.52
1.041666667,0.863246729666347,0.504782214148198,14.8274,2.7425,21.7771428571429,-18.0826392405714,2.27243454285714,101.602428571429,77.41,-5.4545,-43,NA
1.0625,0.873574935167071,0.486689667701963,14.7631,2.6862,21.7742857142857,-18.118277578,2.29246374285714,101.614457142857,77.823,-34.2981333333333,-51.4,0.59
1.083333333,0.883523998605575,0.468385892067658,14.7006,2.666,21.7657142857143,-18.1600355251429,2.26162857142857,101.626285714286,78.107,-27.172925,-40.9,0.67
1.104166667,0.893089602418162,0.449878830411668,14.64,2.6299,21.76,-18.0875279714286,2.16810577142857,101.638542857143,78.065,-36.21834,-42.2,NA
1.125,0.902267594099095,0.431176516798666,14.5806,2.5724,21.7542857142857,-18.0456104537143,2.0641038,101.647485714286,78.175,0.4295,-36.1,0.78
1.145833333,0.911053990757632,0.412287067374895,14.524,2.4686,21.7514285714286,-17.9075341982857,2.04536397142857,101.652171428571,78.767,-16.6136666666667,-45.5,0.55
1.166666667,0.919444979384828,0.393218679469876,14.47,2.373,21.7514285714286,-17.9273845848571,2.03049254285714,101.6602,79.212,-25.138,-44.1,0.64
1.1875,0.927436917384868,0.373979630824533,14.4183,2.3429,21.7542857142857,-17.9254273751429,2.1198508,101.671942857143,79.507,-25.138,-40.7,0.59
1.208333333,0.935026336572518,0.354578270507059,14.3706,2.3664,21.7571428571429,-17.9813205451429,2.17489445714286,101.684942857143,79.606,-25.138,-43.1,NA
1.229166667,0.942209943383302,0.335023017999712,14.326,2.3964,21.7571428571429,-17.9352267042857,2.17188997142857,101.7028,79.656,-20.6187,-37.6,0.5
1.25,0.948984619355586,0.315322362395269,14.2837,2.4128,21.7628571428571,-16.6495673945143,2.08072831428571,101.726314285714,79.547,-10.5916,-40.1,NA
1.270833333,0.955347424552836,0.295484853080937,14.2437,2.4183,21.7771428571429,-4.52721198165714,2.010132,101.751028571429,79.538,-25.090275,-36.2,0.45
1.291666667,0.961295597716343,0.275519098813819,14.206,2.3616,21.7971428571429,34.2569266888571,1.88522525714286,101.777171428571,79.822,-16.0042,-38.5,0.45
1.3125,0.96682655669618,0.255433766888812,14.17,2.4221,21.8257142857143,104.635582680286,1.83385737142857,101.806285714286,80.187,-53.58744,-34.2,NA
1.333333333,0.9719379012849,0.235237573626969,14.1349,2.6775,21.8657142857143,205.656653639714,1.88758757142857,101.835485714286,79.808,-12.0579272727273,-33.4,0.46
1.354166667,0.976627413312219,0.21493928344322,14.1023,3.1254,21.9028571428571,334.531114056229,2.02567094285714,101.862228571429,78.356,-2.45762222222222,-4.1837,0.48
1.375,0.980893057023156,0.194547707988987,14.0746,3.7803,21.9285714285714,472.692745401086,2.1808164,101.884514285714,76.055,8.01762608695652,30.2,0.47
1.395833333,0.984732981312111,0.174071696482118,14.0546,4.5753,21.9542857142857,596.538031436286,2.32618525714286,101.901628571429,73.135,19.0732,98.3,0.48
1.416666667,0.98814551975913,0.15352013477052,14.0451,5.3479,21.9742857142857,714.216887875143,2.44402685714286,101.911828571429,69.992,33.1751733333333,134,0.49
1.4375,0.991129190953762,0.132901944452825,14.0514,6.0187,21.9942857142857,819.316214816857,2.48250771428571,101.906571428571,67.103,39.7085066666667,158.575,0.62
1.458333333,0.993682700120778,0.112226073087673,14.0777,6.638,22.0142857142857,882.606805043056,2.51306314285714,101.886742857143,64.661,54.7019034482759,177,0.45
1.479166667,0.995804939097892,0.0915014932569015,14.1266,7.192,22.0371428571429,280.5929898,2.51549714285714,101.857057142857,62.18,66.0837533333333,225,0.57
1.5,0.997494986604054,0.0707372016677029,14.2017,7.6602,22.0714285714286,291.9023867,2.52304942857143,101.820942857143,59.863,72.198275862069,207,NA
1.520833333,0.998752109250481,0.0499422092794814,14.3023,8.0884,22.0805555555556,298.407528275,2.64480305555556,101.736888888889,57.718,73.8566666666667,226,0.55
